vehicle_id,registration_number,model,year,bs_stage,engine_heater,home_hub,capacity_tonnes,status
MF-068,UP17GN7381,Tata LPT 3118,2023,BS6,No,Kanpur,31,Active
MF-041,RJ43DD3546,BharatBenz 2823R,2017,BS4,No,Jaipur,31,Active
MF-051,UP13DI3925,BharatBenz 2823R,2020,BS6,Yes,Lucknow,31,Active
MF-031,PB31NP8886,Eicher Pro 6028,2016,BS4,No,Ludhiana,16,Active
MF-100,DL30AN8381,Eicher Pro 6028,2022,BS6,Yes,Delhi,21,Active
MF-095,CH71DC7565,Tata LPT 3118,2019,BS4,No,Chandigarh,16,Active
MF-014,HR73CY1771,Tata LPT 3118,2024,BS6,Yes,Ambala,21,Active
MF-029,DL41GG9786,Ashok Leyland 3520,2019,BS4,Yes,Delhi,25,Active
MF-059,UP21YH6085,Ashok Leyland 3520,2016,BS4,No,Lucknow,21,Active
MF-020,CH40BH2290,Eicher Pro 6028,2014,BS4,No,Chandigarh,16,Active
MF-028,UK16VU2612,Eicher Pro 6028,2012,BS4,No,Rudrapur,25,Active
,HR-41-FO-7216,Ashok Leyland 3520,2017,BS4,No,Ambala,,Active
MF-058,HR70ZZ3780,Tata LPT 3118,2021,BS6,Yes,Ambala,31,Active
MF-054,UP18VK6143,Tata LPT 3118,2021,BS6,No,Kanpur,25,Active
MF-088,DL47HM4986,BharatBenz 2823R,2017,BS4,No,Delhi,28,Active
MF-081,HR53AN9031,Eicher Pro 6028,2014,BS4,No,Ambala,25,Active
MF-047,UP29HF3900,Tata LPT 3118,2019,BS4,Yes,Kanpur,25,Active
,hr-16-sp-9238,Ashok Leyland 3520,2024,BS6,Yes,Gurgaon,31,Active
,HR 13 HG 1333,Ashok Leyland 3520,2020,BS6,,Gurgaon,28,Active
MF-050,UP52IC5573,Eicher Pro 6028,2018,BS4,No,Kanpur,31,Active
,ch42hd4155,Tata LPT 3118,2019,BS4,No,Chandigarh,31,Active
MF-038,HR68TS2638,Ashok Leyland 3520,2014,BS4,No,Gurgaon,31,Active
,UP 86 CM 7252,Eicher Pro 6028,2020,BS6,Yes,Kanpur,31,Active
MF-005,PB53DC7224,BharatBenz 2823R,2014,BS4,No,Ludhiana,25,Active
MF-018,CH74TG3504,Ashok Leyland 3520,2018,BS4,No,Chandigarh,31,Active
MF-009,RJ57LG5374,Tata LPT 3118,2022,BS6,No,Jaipur,21,Active
MF-087,UK81YH8800,Eicher Pro 6028,2021,BS6,Yes,Rudrapur,16,Active
MF-002,HR21SN1520,Tata LPT 3118,2012,BS4,No,Ambala,21,Active
MF-025,PB18BK2160,Ashok Leyland 3520,2020,BS6,Yes,Ludhiana,28,Active
MF-015,UP86CM7252,Eicher Pro 6028,2020,BS6,Yes,Kanpur,31,Active
MF-044,RJ66RW8007,Tata LPT 3118,2020,BS6,Yes,Jaipur,21,Active
