trip_id,created_at,route_type,origin_center,origin_name,dest_center,dest_name,dispatch_time,delivery_time,osrm_distance_km,osrm_time_min,actual_time_min,vehicle_reg,driver_id,client,status,billed_amount
trip-153712955898890756,2018-09-16 20:25:58.989263,Carting,IND641062AAD,Coimbatore_Karayam_H (Tamil Nadu),IND643217AAA,Kotagiri_CroslySRT_D (Tamil Nadu),2018-09-16 20:25:58.989263,2018-09-17 02:01:10.784442,23.66,36.0,50.0,RJ43DD3546,DRV-022,Vertex Retail,COMPLETED,38797.0
trip-153727838450436302,2018-09-18 13:46:24.504604,Carting,IND600032AAB,Chennai_Hub (Tamil Nadu),IND600076AAB,Chennai_Madhavaram_DPC (Tamil Nadu),2018-09-18 13:46:24.504604,2018-09-18 15:27:25.017497,11.5745,11.0,30.0,UK 79 WJ 9666,DRV-040,Internal,COMPLETED,87963.0
trip-153740842373288319,2018-09-20 01:53:43.733107,Carting,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND400701AAB,Mumbai_Pawane_L (Maharashtra),2018-09-20 01:53:43.733107,2018-09-20 04:32:44.306130,23.2194,20.0,47.0,HR14LS3426,DRV-025,Apex Chemicals,COMPLETED,13707.0
trip-153835485724858517,2018-10-01 00:47:37.248803,FTL,IND842001AAA,Muzaffrpur_Bbganj_I (Bihar),IND843105AAB,Dholi_WardNo4_D (Bihar),2018-10-01 00:47:37.248803,2018-10-01 02:12:42.107052,22.724400000000003,16.0,38.0,UK-16-VU-2612,DRV-043,Internal,COMPLETED,75535.0
trip-153811821177080983,2018-09-28 07:03:31.771057,Carting,IND560048AAB,Bengaluru_Hoodi_IP (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-28 07:03:31.771057,2018-09-28 09:27:18.929848,12.2332,18.0,30.0,PB 47 HL 3939,DRV-048,Shakti Cement,COMPLETED,57766.0
trip-153724441728396367,2018-09-18 04:20:17.284355,Carting,IND401501AAA,Boisar_OstwlEmp_D (Maharashtra),IND401602AAA,Dahanu_KetyDPP_D (Maharashtra),2018-09-18 04:20:17.284355,2018-09-18 06:09:47.797030,16.2374,15.0,26.0,ch26lc5002,DRV-011,Internal,COMPLETED,34265.0
trip-153699945635780900,2018-09-15 08:17:36.358183,FTL,IND473226AAA,Guna_Raghogrh_D (Madhya Pradesh),IND473001AAA,Guna_HnumnDPP_D (Madhya Pradesh),2018-09-15 08:17:36.358183,2018-09-15 09:44:52.939733,26.564,31.0,40.0,PB53GV5325,DRV-052,Internal,COMPLETED,27480.0
trip-153679919278031931,2018-09-13 00:39:52.780541,Carting,IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),IND140901AAA,Chandigarh_Mullanpr_DC (Chandigarh),2018-09-13 00:39:52.780541,2018-09-13 02:23:58.165958,12.4563,13.0,18.0,UP71AL5892,DRV-005,Internal,COMPLETED,81502.0
trip-153815677946453965,2018-09-28 17:46:19.464808,Carting,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),2018-09-28 17:46:19.464808,2018-09-28 20:23:04.033189,12.4411,12.0,20.0,PB18BK2160,DRV-009,Orion Pharma,COMPLETED,48621.0
trip-153687914129825294,2018-09-13 22:52:21.298485,Carting,IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),IND401208AAA,Nalasopara (Maharashtra),2018-09-13 22:52:21.298485,2018-09-14 01:25:58.907241,13.8051,11.0,17.0,CH67HY8613,DRV-003,Internal,COMPLETED,85368.0
trip-153755233254176731,2018-09-21 17:52:12.542027,Carting,IND560048AAB,Bengaluru_Hoodi_IP (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-21 17:52:12.542027,2018-09-21 19:49:12.166871,11.7748,15.0,20.0,ch40ik6238,DRV-059,Apex Chemicals,COMPLETED,25244.0
trip-153791942069210486,2018-09-25 23:50:20.692362,Carting,IND410206AAB,Mumbai_Panvel_D (Maharashtra),IND000000AFT,Mumbai_Sanpada_I (Maharashtra),2018-09-26 01:59:34.026330,2018-09-26 03:41:47.635691,16.2673,14.0,34.0,UP53YM5558,DRV-035,Internal,COMPLETED,52016.0
trip-153745856911783038,2018-09-20 15:49:29.118093,Carting,IND131028AAB,Sonipat_Kundli_H (Haryana),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-20 15:49:29.118093,2018-09-20 20:36:36.933312,24.3353,23.0,25.0,dl30an8381,DRV-013,Vertex Retail,COMPLETED,90735.0
trip-153680935684231165,2018-09-13 03:29:16.842705,Carting,IND211002AAB,Allahabad_Central_H_1 (Uttar Pradesh),IND211013AAA,Allahabad_Phaphamu_DC (Uttar Pradesh),2018-09-13 03:29:16.842705,2018-09-13 08:19:44.177843,13.0164,9.0,66.0,UK69NX5397,DRV-003,Vertex Retail,COMPLETED,29386.0
trip-153735689093567282,2018-09-19 11:34:50.935962,Carting,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),2018-09-19 11:34:50.935962,2018-09-19 17:54:49.721450,13.0821,16.0,50.0,PB18BK2160,DRV-031,Apex Chemicals,COMPLETED,77017.0
trip-153730531967767850,2018-09-18 21:15:19.677969,FTL,IND571432AAB,Nagamangala_MandyaRD_D (Karnataka),IND571426AAA,Krishnarajpet_MuruPost_D (Karnataka),2018-09-19 01:31:09.182167,2018-09-19 02:29:07.564580,30.6803,28.0,34.0,PB47HL3939,DRV-014,Orion Pharma,COMPLETED,15289.0
trip-153857717879932397,2018-10-03 14:32:58.799576,Carting,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),2018-10-03 14:32:58.799576,2018-10-03 18:09:06.707067,11.1183,11.0,15.0,HR55GV5088,DRV-016,Internal,COMPLETED,68829.0
trip-153808708497998735,2018-09-27 22:24:44.980241,Carting,IND411021AAA,PNQ Pashan DPC (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),2018-09-27 22:24:44.980241,2018-09-28 02:16:18.818124,10.7123,12.0,29.0,RJ66RW8007,DRV-032,Internal,COMPLETED,38767.0
trip-153744931166370622,2018-09-20 13:15:11.664020,Carting,IND131028AAB,Sonipat_Kundli_H (Haryana),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-20 13:15:11.664020,2018-09-20 18:16:28.755768,22.7407,28.0,24.0,DL33CT2113,DRV-057,Vertex Retail,COMPLETED,31717.0
trip-153714467606848903,2018-09-17 00:37:56.068731,Carting,IND713205AAB,Durgapur_Central_I_1 (West Bengal),IND722101AAB,Bankura_NapitDPP_D (West Bengal),2018-09-17 00:37:56.068731,2018-09-17 05:41:23.433281,40.7109,37.0,27.0,CH 81 AQ 4130,DRV-025,Apex Chemicals,COMPLETED,40940.0
trip-153742799528586783,2018-09-20 07:19:55.286166,Carting,IND302014AAB,Jaipur_Central_I_7 (Rajasthan),IND302023AAA,Ambabadi_DC (Rajasthan),2018-09-20 07:19:55.286166,2018-09-20 08:37:55.229647,13.9174,13.0,36.0,PB53DC7224,DRV-011,Vertex Retail,COMPLETED,13186.0
trip-153855182916926112,2018-10-03 07:30:29.169649,Carting,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),2018-10-03 07:30:29.169649,2018-10-03 10:56:23.385984,12.4172,11.0,19.0,CH71DC7565,DRV-044,Orion Pharma,COMPLETED,77565.0
trip-153738560244963603,2018-09-19 19:33:22.449976,FTL,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-19 19:33:22.449976,2018-09-20 23:19:34.516235,31.643,31.0,44.0,RJ34GX8933,DRV-036,Shakti Cement,COMPLETED,53323.0
trip-153820542385653658,2018-09-29 07:17:03.856804,Carting,IND400701AAA,Mumbai_Ghansoli_DC (Maharashtra),IND410206AAA,Jasai_JNPT_D (Maharashtra),2018-09-29 07:49:42.250560,2018-09-29 09:17:31.736959,13.0578,10.0,29.0,UP33PG6813,DRV-009,Apex Chemicals,COMPLETED,30537.0
trip-153686151613983096,2018-09-13 17:58:36.140226,FTL,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND124103AAA,Jhajjar_DC (Haryana),2018-09-13 17:58:36.140226,2018-09-13 22:17:26.985822,23.9314,19.0,32.0,HR 63 TT 4697,DRV-005,Internal,COMPLETED,66579.0
trip-153804526645636478,2018-09-27 10:47:46.456575,Carting,IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-27 10:47:46.456575,2018-09-27 13:26:05.813535,16.8199,22.0,30.0,CH-74-TG-3504,DRV-034,Orion Pharma,COMPLETED,18779.0
trip-153671695519287480,2018-09-12 01:49:15.193139,FTL,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND533106AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh),2018-09-12 01:49:15.193139,2018-09-12 16:02:48.285972,27.4238,19.0,45.0,UK-33-BI-7211,DRV-013,Internal,COMPLETED,75959.0
trip-153706931965332853,2018-09-16 03:41:59.653696,Carting,IND224001AAA,Faizabad_TrnspNgr_D (Uttar Pradesh),IND224141AAB,Gosainganj_Pakrela_D (Uttar Pradesh),2018-09-16 09:40:48.921682,2018-09-16 11:48:52.292402,9.5395,6.0,43.0,PB53GV5325,DRV-028,Orion Pharma,COMPLETED,80275.0
trip-153714080986628136,2018-09-16 23:33:24.756754,FTL,IND821115AAB,Sasaram_Central_I_2 (Bihar),IND821109AAA,Mohania_Bhabua_D (Bihar),2018-09-16 23:33:24.756754,2018-09-17 01:38:30.374454,25.0058,18.0,45.0,HR-13-MS-1444,DRV-049,Internal,COMPLETED,65786.0
trip-153855102858192737,2018-10-03 07:17:08.582205,Carting,IND421302AAN,GreaterThane_Anjur_C (Maharashtra),IND400072AAB,Mumbai Hub (Maharashtra),2018-10-03 07:17:08.582205,2018-10-03 09:35:01.017728,12.7808,11.0,32.0,PB59PM4997,DRV-013,Vertex Retail,COMPLETED,21666.0
trip-153687200804882587,2018-09-13 20:53:28.049107,FTL,IND842001AAA,Muzaffrpur_Bbganj_I (Bihar),IND846004AAA,Darbhanga (Bihar),2018-09-13 20:53:28.049107,2018-09-14 00:58:16.172264,26.8063,20.0,38.0,RJ-29-ZS-5978,DRV-038,Orion Pharma,COMPLETED,15001.0
trip-153800087918874108,2018-09-26 22:27:59.188991,Carting,IND695582AAA,Kazhakkoottam_Rdiosttn_D (Kerala),IND695101AAB,Attingal_Central_D_2 (Kerala),2018-09-26 23:56:07.362749,2018-09-27 00:58:46.249840,11.2923,12.0,13.0,PB53DC7224,DRV-059,Apex Chemicals,COMPLETED,77722.0
trip-153749048797422564,2018-09-21 00:41:27.974657,Carting,IND792130AAB,Khonsa_Central_D_1 (Arunachal Pradesh),IND786001AAB,Dibrugarh_Bokule_H (Assam),2018-09-21 07:24:05.256245,2018-09-21 16:12:57.598420,12.028,10.0,16.0,UK 33 BI 7211,DRV-015,Orion Pharma,COMPLETED,71523.0
